generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.35235873192738587,0.3698778635897871,0.38500880872414084,0.006783054126244721,57,42,132.00337624549866,0.002064943313598633,100,False
1,0.32574145171100677,0.3662634018300129,0.41240589850043186,0.02098002581970328,46,36,160.45017170906067,0.009956836700439453,100,False
2,0.31288800003920514,0.35021536265217035,0.39524508589571455,0.019943246893836926,44,32,159.6663670539856,0.00743865966796875,100,False
3,0.309399582661418,0.343247136560321,0.3810151293293407,0.01806483800709244,43,41,158.3558793067932,0.008814334869384766,100,False
4,0.3057904343002178,0.32935098587771533,0.38058020426726524,0.01468287976767981,43,42,162.00296020507812,0.007901906967163086,100,False
5,0.310502260710978,0.32134457803621624,0.3491703537534387,0.008005818189464943,39,37,156.3894350528717,0.0070323944091796875,100,False
6,0.30992255447399764,0.3205939448754746,0.35077025633134284,0.006989558727061339,37,42,164.2229437828064,0.007180929183959961,100,False
7,0.3106468300878727,0.3211211924052769,0.346700409512617,0.00645275012020623,38,45,164.68226194381714,0.008763313293457031,100,False
8,0.3103898113043272,0.3207738304381899,0.349117139041761,0.006100174026242084,39,39,162.44419598579407,0.008865833282470703,100,False
9,0.3121448767726769,0.32118640988264124,0.34910287211781005,0.006371707401955174,36,41,169.02012586593628,0.007868528366088867,100,False
10,0.30803103129227877,0.3211144066091343,0.34827662901872886,0.0073666396404365704,42,42,160.5542140007019,0.007830381393432617,100,False
11,0.30724778420624066,0.31805232153557184,0.3385765790029385,0.005504808088513045,41,44,169.5877697467804,0.009914159774780273,100,False
12,0.30798276074946096,0.3175336363494725,0.33894896685971826,0.00559304457501355,41,42,161.35895252227783,0.007874488830566406,100,False
13,0.30582512352467356,0.3167209748808896,0.33778355010825145,0.005240895676663474,41,34,164.25106954574585,0.007266521453857422,100,False
14,0.3022750530166121,0.3158757742421117,0.3322914804062692,0.00469381780964258,43,36,159.78871035575867,0.007599592208862305,100,False
15,0.30520818215963436,0.31530165046814956,0.3283429460377904,0.004559508390024963,43,41,155.20532751083374,0.007230520248413086,100,False
16,0.30445466669140786,0.3128987282079849,0.3210396768122477,0.0034593480305860065,39,37,156.10164260864258,0.00856161117553711,100,False
17,0.3026429146353876,0.3102541988873074,0.3195136419888235,0.002950077211132721,40,37,152.5367467403412,0.007021665573120117,100,False
18,0.3032512832135643,0.30951050922113993,0.3183473351117867,0.00284920225927608,41,37,161.69514226913452,0.008604764938354492,100,False
19,0.30406944664619195,0.3098337443889706,0.3214131928206469,0.0031000381145236343,40,36,156.13225936889648,0.007834911346435547,100,False
20,0.30248936427619844,0.30950925826139003,0.32474622709797657,0.0038593724488628985,40,35,160.27695512771606,0.0069921016693115234,100,False
21,0.298847760885688,0.30813859868930815,0.31752419197079484,0.003954122956734692,42,35,159.61904549598694,0.0071430206298828125,100,False
22,0.2987590057427264,0.30681987982552816,0.318484458912065,0.003323959636694419,43,37,156.0772190093994,0.008617401123046875,100,False
23,0.3006462439246561,0.3070032566156267,0.31753924749837964,0.0029552910548661065,43,39,155.73408675193787,0.006806612014770508,100,False
24,0.30035387115371703,0.3065317664141334,0.314090492523702,0.002429159862983773,42,37,156.79490041732788,0.0073359012603759766,100,False
25,0.3020123078308374,0.3071464771753217,0.31665574610608715,0.0024905740606134476,41,36,146.45851707458496,0.008157730102539062,100,False
26,0.300630426143459,0.30698650744964523,0.31347025479255247,0.0024616366741723847,43,36,152.40027356147766,0.007109403610229492,100,False
27,0.300630426143459,0.30611617807805347,0.3140184411379849,0.0026380396282463764,43,36,156.18154644966125,0.007862329483032227,100,False
28,0.3003815734621315,0.30568195435317624,0.3180652682139595,0.0028053279193924418,41,31,155.24424529075623,0.007737874984741211,100,False
29,0.3015233977058151,0.30549583996180335,0.3110788299027981,0.002137596662614541,39,35,156.75287985801697,0.007573843002319336,100,False
30,0.3015233977058151,0.363649185981808,0.3934118607688319,0.021502873332602652,39,35,150.39843606948853,0.004377603530883789,100,True
31,0.3001073950490198,0.331228896519624,0.3824217345677487,0.027806247763827046,42,35,156.5443263053894,0.007366180419921875,100,False
32,0.3006226219846858,0.3208363830190519,0.37554162626384946,0.017320179785765367,40,35,155.95044422149658,0.008843183517456055,100,False
33,0.30027245114511525,0.3136010247861806,0.35371765319335324,0.010924445835791274,41,32,157.75220441818237,0.008054971694946289,100,False
34,0.3017576023708593,0.3135675055088793,0.3365368970339909,0.0073965155389674,44,35,159.26945900917053,0.008837223052978516,100,False
