generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small,time_simulation,time_offspring,n_population,did_random_restart
0,0.21933417520805537,0.2561899225065667,0.28545045836280686,0.011178208116085667,29,101,14.676440238952637,0.002057790756225586,100,False
1,0.21933417520805537,0.25308579602569714,0.2807582952850051,0.012952064531526737,29,101,14.71620798110962,0.0017828941345214844,100,True
2,0.2183367800518196,0.2549409171014533,0.2861429808696538,0.012236883518462372,29,101,14.575793981552124,0.00177001953125,100,True
3,0.2183367800518196,0.259532254647115,0.2909464148395446,0.012908531262680514,29,101,14.602493047714233,0.015372753143310547,100,True
4,0.2183367800518196,0.25389506844310455,0.2862022093134886,0.013227461568349856,29,101,14.605406761169434,0.014944076538085938,100,True
5,0.2183367800518196,0.25015348775642243,0.278929314556994,0.014289115874791716,29,101,14.612464904785156,0.015086174011230469,100,True
6,0.2183367800518196,0.2539758481902369,0.28476275298042497,0.012429605276884293,29,101,14.545951843261719,0.015208005905151367,100,True
7,0.21479973105216277,0.25357034884511287,0.2828360453833542,0.0132053086716395,29,101,14.612866163253784,0.0018138885498046875,100,True
8,0.21479973105216277,0.255025503171101,0.2763303303303303,0.01131706331004992,29,101,14.607489109039307,0.0017838478088378906,100,True
9,0.21479973105216277,0.2539357083996079,0.2881045820150192,0.012499693734767227,29,101,14.614229917526245,0.0018000602722167969,100,True
10,0.21479973105216277,0.2559654608547981,0.2874075683287136,0.013145303508672157,29,101,14.582250833511353,0.0017652511596679688,100,True
11,0.21479973105216277,0.25567643206244894,0.2777547512176487,0.011355399960035463,29,101,14.571629047393799,0.0018000602722167969,100,True
12,0.21479973105216277,0.25509896225130646,0.2920607812018855,0.012446452931441703,29,101,14.696603059768677,0.0017938613891601562,100,True
13,0.21479973105216277,0.2531633290904116,0.27630427496267407,0.01133310446791528,29,101,14.621886968612671,0.0017919540405273438,100,True
